date,size,month
31/05/2017,2.845957031,119.854668
1/06/2017,25.56111328,0
2/06/2017,6.594560547,0
3/06/2017,0.091503906,0
4/06/2017,0.540761719,0
5/06/2017,2.775292969,0
6/06/2017,0.630820313,0
7/06/2017,0.994541016,0
8/06/2017,2.975419922,0
9/06/2017,1.168242188,0
10/06/2017,0.125751953,0
11/06/2017,0.115654297,0
12/06/2017,1.871533203,0
13/06/2017,4.653349609,0
14/06/2017,5.244697266,0
15/06/2017,26.6234375,0
16/06/2017,1.448779297,0
17/06/2017,5.196005859,0
18/06/2017,1.405771484,0
19/06/2017,8.953886719,0
20/06/2017,4.001494141,0
21/06/2017,4.859931641,0
22/06/2017,3.728544922,0
23/06/2017,5.101601563,0
24/06/2017,0.891025391,0
25/06/2017,1.825957031,0
26/06/2017,3.833623047,0
27/06/2017,8.081738281,0
28/06/2017,26.42875977,0
29/06/2017,7.334677734,0
30/06/2017,4.654287109,167.7127637
1/07/2017,8.710107422,0
2/07/2017,0.636679688,0
3/07/2017,9.080996094,0
4/07/2017,12.62152344,0
5/07/2017,7.095644531,0
6/07/2017,3.316689453,0
7/07/2017,5.417373047,0
8/07/2017,1.324130859,0
9/07/2017,1.022734375,0
10/07/2017,12.84083984,0
11/07/2017,8.055791016,0
12/07/2017,7.744628906,0
13/07/2017,13.6865332,0
14/07/2017,10.9931543,0
15/07/2017,2.412089844,0
16/07/2017,1.359931641,0
17/07/2017,2.272880859,0
18/07/2017,5.048183594,0
19/07/2017,6.774111328,0
20/07/2017,109.8806348,0
21/07/2017,1.090830078,0
22/07/2017,0.091503906,0
23/07/2017,54.01110352,0
24/07/2017,3.849677734,0
25/07/2017,43.48883789,0
26/07/2017,24.03876953,0
27/07/2017,1.245742188,0
28/07/2017,0.857480469,0
29/07/2017,0.091513672,0
30/07/2017,8.301113281,0
31/07/2017,5.869853516,373.231084
1/08/2017,4.265683594,0
2/08/2017,13.08923828,0
3/08/2017,14.19708008,0
4/08/2017,6.533251953,0
5/08/2017,0.407304688,0
6/08/2017,1.190341797,0
7/08/2017,1.722470703,0
8/08/2017,117.1927734,0
9/08/2017,1.410498047,0
10/08/2017,4.085429688,0
11/08/2017,0.998759766,0
12/08/2017,0.099277344,0
13/08/2017,1.054052734,0
14/08/2017,1.482285156,0
15/08/2017,40.31414063,0
16/08/2017,2.115234375,0
17/08/2017,54.09967773,0
18/08/2017,28.47273438,0
19/08/2017,0.100595703,0
20/08/2017,0.483486328,0
21/08/2017,4.347880859,0
22/08/2017,4.010537109,0
23/08/2017,15.98104492,0
24/08/2017,5.257490234,0
25/08/2017,2.081572266,0
26/08/2017,0.109121094,0
27/08/2017,0.264365234,0
28/08/2017,1.995664063,0
29/08/2017,1.791425781,0
30/08/2017,9.108398438,0
31/08/2017,13.09321289,351.3550293
1/09/2017,3.101171875,0
2/09/2017,0.115146484,0
3/09/2017,0.890429688,0
4/09/2017,6.895917969,0
5/09/2017,32.911875,0
6/09/2017,2.451103516,0
7/09/2017,2.763505859,0
8/09/2017,1.582861328,0
9/09/2017,0.160908203,0
10/09/2017,0.498466797,0
11/09/2017,2.162265625,0
12/09/2017,3.23171875,0
13/09/2017,24.87900391,0
14/09/2017,12.85400391,0
15/09/2017,5.214238281,0
16/09/2017,0.12765625,0
17/09/2017,0.226025391,0
18/09/2017,16.52808594,0
19/09/2017,5.528212891,0
20/09/2017,5.415722656,0
21/09/2017,1.075371094,0
22/09/2017,1.573164063,0
23/09/2017,0.142509766,0
24/09/2017,0.347197266,0
25/09/2017,2.081826172,0
26/09/2017,2.669501953,0
27/09/2017,0.721582031,0
28/09/2017,42.56645508,0
29/09/2017,4.282148438,0
30/09/2017,0.146708984,183.1447852
1/10/2017,0.13671875,0
2/10/2017,0.130683594,0
3/10/2017,5.793798828,0
4/10/2017,19.58421875,0
5/10/2017,45.78988281,0
